object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation
articulated,global,500,1,0.1,0.010279679670929909,0.006784793920814991
articulated,global,500,1,0.3,0.010568130761384964,0.006699649151414633
articulated,global,500,1,1.0,0.014560571871697903,0.007974641397595406
articulated,global,500,1,2.0,0.018923981115221977,0.008393801748752594
articulated,part,500,1,0.001,0.009414243511855602,0.006382820662111044
articulated,part,500,1,0.01,0.009477769955992699,0.0064436402171850204
articulated,part,500,1,0.1,0.010373727418482304,0.0071137165650725365
articulated,part,500,1,0.3,0.00987888965755701,0.006631423719227314
articulated,part,500,1,1.0,0.010245628654956818,0.006765628233551979
articulated,part,500,1,2.0,0.011055165901780128,0.007032249588519335
articulated,none,500,2,0.0,0.008219951763749123,0.005997959990054369
articulated,global,500,2,0.001,0.008210434578359127,0.005990160163491964
articulated,global,500,2,0.01,0.008186163380742073,0.005941692274063826
articulated,global,500,2,0.1,0.00820978544652462,0.0057996404357254505
articulated,global,500,2,0.3,0.01090607512742281,0.007513624150305986
articulated,global,500,2,1.0,0.014326130039989948,0.00789246242493391
articulated,global,500,2,2.0,0.01870589330792427,0.008520948700606823
articulated,part,500,2,0.001,0.008220277726650238,0.0059940810315310955
articulated,part,500,2,0.01,0.008208553306758404,0.00595684302970767
articulated,part,500,2,0.1,0.00806506909430027,0.005705729126930237
articulated,part,500,2,0.3,0.008685311302542686,0.005740717984735966
articulated,part,500,2,1.0,0.009005921892821789,0.0054320371709764
articulated,part,500,2,2.0,0.009497255086898804,0.005275900010019541
articulated,none,1000,0,0.0,0.008300933986902237,0.005274420138448477
articulated,global,1000,0,0.001,0.008333302102982998,0.005282869562506676
articulated,global,1000,0,0.01,0.00848471187055111,0.005385654512792826
articulated,global,1000,0,0.1,0.008253393694758415,0.005361886229366064
articulated,global,1000,0,0.3,0.009965583682060242,0.006082781590521336
articulated,global,1000,0,1.0,0.012021446600556374,0.0066445497795939445
articulated,global,1000,0,2.0,0.01700933836400509,0.00810676533728838
articulated,part,1000,0,0.001,0.00831975694745779,0.005286602769047022
articulated,part,1000,0,0.01,0.008334258571267128,0.005336241330951452
articulated,part,1000,0,0.1,0.008146455511450768,0.005770470947027206
articulated,part,1000,0,0.3,0.006634168792515993,0.0044248695485293865
articulated,part,1000,0,1.0,0.0069110458716750145,0.004455538932234049
articulated,part,1000,0,2.0,0.00827223714441061,0.006021144334226847
articulated,none,1000,1,0.0,0.009078078903257847,0.004831050056964159
articulated,global,1000,1,0.001,0.009091491810977459,0.00482554268091917
articulated,global,1000,1,0.01,0.009148471988737583,0.004866619128733873
articulated,global,1000,1,0.1,0.007871964015066624,0.005413081031292677
articulated,global,1000,1,0.3,0.008409128524363041,0.00565355597063899
articulated,global,1000,1,1.0,0.012429161928594112,0.007205652073025703
articulated,global,1000,1,2.0,0.016733886674046516,0.007542253937572241
articulated,part,1000,1,0.001,0.009128937497735023,0.004857328254729509
articulated,part,1000,1,0.01,0.009490291588008404,0.00487258518114686
articulated,part,1000,1,0.1,0.011821738444268703,0.005270353052765131
articulated,part,1000,1,0.3,0.008944271132349968,0.005778043530881405
articulated,part,1000,1,1.0,0.00645636348053813,0.004780075512826443
articulated,part,1000,1,2.0,0.007352904416620731,0.004818640183657408
articulated,none,1000,2,0.0,0.007093978580087423,0.0049707950092852116
articulated,global,1000,2,0.001,0.007149018347263336,0.004992613568902016
articulated,global,1000,2,0.01,0.007016787305474281,0.0050192344933748245
articulated,global,1000,2,0.1,0.006943453568965197,0.004695508163422346
articulated,global,1000,2,0.3,0.009786494076251984,0.005721556954085827
